iter	RMSE
585	3.545910059
586	3.545896763
587	3.545883176
588	3.545871555
589	3.545860793
590	3.545840645
591	3.545825522
592	3.545806948
593	3.545793172
594	3.545782778
595	3.545770699
596	3.545755421
597	3.545738753
598	3.545728893
599	3.545718863
600	3.545702227
601	3.545687036
602	3.545672267
603	3.545663753
604	3.545651702
605	3.545639309
606	3.545624399
607	3.545616251
608	3.545600115
609	3.545588457
610	3.545574668
611	3.545560876
612	3.54555055
613	3.545536255
614	3.545517857
615	3.545498164
616	3.545482479
617	3.545464287
618	3.545449076
619	3.545436985
620	3.545427176
621	3.545413531
622	3.545400086
623	3.545383826
624	3.545369796
625	3.545359768
626	3.545342228
627	3.545330898
628	3.545315943
629	3.545296038
630	3.545276565
631	3.545263368
632	3.545251983
633	3.545239581
634	3.54522934
635	3.545218602
636	3.545198507
637	3.5451878
638	3.545173483
639	3.545158719
640	3.545146971
641	3.54513275
642	3.545121895
643	3.545106201
644	3.545096312
645	3.545081127
646	3.545065661
647	3.54505367
648	3.545043932
649	3.545028058
650	3.545011495
651	3.545001408
652	3.544990769
653	3.544973712
654	3.544959401
655	3.544945776
656	3.544931457
657	3.544919767
658	3.54490479
659	3.544890303
660	3.544880319
661	3.544869361
662	3.544857614
663	3.544842149
664	3.544826303
665	3.54481463
666	3.544803783
667	3.544791829
668	3.544781614
669	3.544765617
670	3.544751643
671	3.54473975
672	3.544724427
673	3.5447094
674	3.54469565
675	3.544685391
676	3.544672434
677	3.54465435
678	3.544645062
679	3.544630907
680	3.54461181
681	3.544599981
682	3.544592164
683	3.54457825
684	3.54456795
685	3.544545756
686	3.544533885
687	3.544517403
688	3.544499946
689	3.544488018
690	3.544473263
691	3.544459806
692	3.544446182
693	3.5444311
694	3.544416731
695	3.544405641
696	3.544393607
697	3.544382462
698	3.544372091
699	3.544353915
700	3.54433807
701	3.544322951
702	3.544310291
703	3.544299713
704	3.544284499
705	3.544265744
706	3.544253209
707	3.544240043
708	3.544224946
709	3.544209273
710	3.544196303
711	3.544186642
712	3.544170195
713	3.544156154
714	3.544142513
715	3.544129848
716	3.544114513
717	3.544104342
718	3.544089222
719	3.544076295
720	3.544066364
721	3.544053193
722	3.544040914
723	3.544033573
724	3.54401667
725	3.544006364
726	3.54399518
727	3.543980305
728	3.543970653
729	3.543953874
730	3.54393885
731	3.543928965
732	3.543914904
733	3.543906044
734	3.543893517
735	3.543877863
736	3.543864629
737	3.543849476
738	3.543837587
739	3.543821656
740	3.543804994
741	3.543789277
742	3.543773076
743	3.543761124
744	3.543744525
745	3.543724006
746	3.543709497
747	3.543697931
748	3.543685463
749	3.543670173
750	3.543653196
751	3.543640718
752	3.543630202
753	3.543619787
754	3.543607761
755	3.543594402
756	3.543583937
757	3.54357106
758	3.543556919
759	3.543543429
760	3.543523081
761	3.543509082
762	3.543495549
763	3.543483344
764	3.543467808
765	3.543458216
766	3.543446196
767	3.543429068
768	3.543414879
769	3.543403002
770	3.543388832
771	3.543374905
772	3.543358618
773	3.543344794
774	3.543329702
775	3.543318509
776	3.543307003
777	3.543289807
778	3.543272063
779	3.543257369
780	3.543245484
781	3.543229179
782	3.543216447
783	3.543205206
784	3.54318975
785	3.543175207
786	3.543162331
787	3.543147235
788	3.543136227
789	3.543123987
790	3.543108762
791	3.543093026
792	3.543082623
793	3.543063343
794	3.543050451
795	3.543039268
796	3.543022045
797	3.543011028
798	3.542998099
799	3.542985988
800	3.542974248
801	3.542961256
802	3.542945776
803	3.542933107
804	3.54292069
805	3.542909719
806	3.542897556
807	3.54288258
808	3.542866177
809	3.542855725
810	3.54284049
811	3.542827808
812	3.542816478
813	3.542797946
814	3.542783401
815	3.542770471
816	3.542753373
817	3.542742274
818	3.542729938
819	3.542717388
820	3.542704115
821	3.542692095
822	3.542681385
823	3.542666723
824	3.542651777
825	3.542635474
826	3.542622659
827	3.542614087
828	3.542601408
829	3.542583794
830	3.542566379
831	3.542547113
832	3.542532445
833	3.542519015
834	3.542506541
835	3.542490904
836	3.542479502
837	3.54246536
838	3.5424534
839	3.542446322
840	3.542437467
841	3.542421081
842	3.542403213
843	3.542389101
844	3.542380222
845	3.542369182
846	3.542359731
847	3.54234805
848	3.542327962
849	3.542316854
850	3.54230234
851	3.542294131
852	3.54228158
853	3.542266747
854	3.542251778
855	3.542239986
856	3.542228855
857	3.542217021
858	3.542204555
859	3.542192584
860	3.542179243
861	3.542169848
862	3.542158771
863	3.542148926
864	3.542132479
865	3.542121541
866	3.542110826
867	3.542095402
868	3.542079622
869	3.542069985
870	3.542064299
871	3.542054395
872	3.542039879
873	3.542029011
874	3.542013997
875	3.542003807
876	3.541994775
877	3.541977599
878	3.541961918
879	3.541948215
880	3.541935395
881	3.541922581
882	3.541910627
883	3.541900534
884	3.541886544
885	3.541875393
886	3.541863896
887	3.541849821
888	3.541836516
889	3.541825269
890	3.541810223
891	3.541794236
892	3.54178624
893	3.54177379
894	3.541759914
895	3.541742724
896	3.541731233
897	3.541716386
898	3.541700227
899	3.541690579
900	3.541675546
901	3.541661036
902	3.541645883
903	3.541635779
904	3.541621806
905	3.541611587
906	3.541597827
907	3.541582667
908	3.541570897
909	3.541552698
910	3.541538832
911	3.541527864
912	3.541515314
913	3.541505515
914	3.54149309
915	3.541481575
916	3.541467338
917	3.541450582
918	3.54143849
919	3.541423803
920	3.541412074
921	3.5413984
922	3.541385238
923	3.541370819
924	3.541359974
925	3.541348861
926	3.541337118
927	3.541326611
928	3.541316384
929	3.541303357
930	3.541291535
931	3.541282229
932	3.541274098
933	3.541262749
934	3.541246639
935	3.541232317
936	3.541219256
937	3.541205906
938	3.541193237
939	3.541183394
940	3.541174368
941	3.541163181
942	3.541151081
943	3.541139966
944	3.541128387
945	3.541114121
946	3.541105338
947	3.541091226
948	3.541077122
949	3.541059927
950	3.541045002
951	3.54103255
952	3.54102185
953	3.541011637
954	3.540997582
955	3.540986014
956	3.540971813
957	3.540961089
958	3.5409479
959	3.540934481
960	3.540923289
961	3.540913609
962	3.540901211
963	3.540892493
964	3.5408805
965	3.540869403
966	3.540854421
967	3.540840718
968	3.540827335
969	3.540814829
970	3.540805154
971	3.540791723
972	3.540778589
973	3.540768405
974	3.540757428
975	3.540747611
976	3.540735121
977	3.540723907
978	3.540712672
979	3.54069849
980	3.540687893
981	3.540675096
982	3.540661597
983	3.540648873
984	3.540635965
985	3.540625978
986	3.540611729
987	3.540602328
988	3.540591908
989	3.540581644
990	3.540567672
991	3.540553371
992	3.540533437
993	3.540521552
994	3.540506255
995	3.540492046
996	3.540478548
997	3.540467423
998	3.540456929
999	3.540445064
